,name,length,Left extract,long/short name,CONCATENATE,Upper case name,Lower case,Proper function,avg_rating,corrected rating,New corrected reationg,review in K,reviews_count,and,or,company_type,,Head_Quarters,,Company_Age,COMPANY DETAIL,No_of_Employee
4598,Arch Pharmalabs,15,Arc,longname,Arch Pharmalabs Is great,ARCH PHARMALABS,arch pharmalabs,Arch Pharmalabs,4,4,4,88 Reviews),0,0,FALSE,Private,0,Mumbai + 8 more,TRUE,23,Establish,1k-5k employees Global)
4599,V2 Solutions,12,V2 ,longname,V2 Solutions Is great,V2 SOLUTIONS,v2 solutions,V2 Solutions,3.9,3.9,3.9,88 Reviews),0,0,FALSE,Private,0,"Santa Clara,California + 6 more",FALSE,19,Establish,501-1k employees Global)
4600,Orient Paper Mill,17,Ori,longname,Orient Paper Mill Is great,ORIENT PAPER MILL,orient paper mill,Orient Paper Mill,3.6,3.6,3.6,88 Reviews),0,0,FALSE,Kolkata + 6 more,0,83,FALSE,1k-5k employees Global),Establish,
4601,Venkateshwar Hospi...,21,Ven,longname,Venkateshwar Hospi... Is great,VENKATESHWAR HOSPI...,venkateshwar hospi...,Venkateshwar Hospi...,3,3,3,88 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 2 more",FALSE,17,Establish,201-500 employees Global)
4602,MKCL,4,MKC,short name,MKCL Is great,MKCL,mkcl,Mkcl,4,4,4,88 Reviews),0,0,FALSE,Private,0,Pune + 20 more,FALSE,21,Establish,201-500 employees Global)
4603,Leena Powertech En...,21,Lee,longname,Leena Powertech En... Is great,LEENA POWERTECH EN...,leena powertech en...,Leena Powertech En...,3.5,3.5,3.5,88 Reviews),0,0,FALSE,Private,0,Mumbai + 6 more,TRUE,27,Establish,501-1k employees Global)
4604,Indian Political A...,21,Ind,longname,Indian Political A... Is great,INDIAN POLITICAL A...,indian political a...,Indian Political A...,3.4,3.4,3.4,88 Reviews),0,0,FALSE,"Hyderabad/Secunderabad,Telangana + 10 more",0,7,FALSE,201-500 employees Global),Establish,
4605,Etihad Airways,14,Eti,longname,Etihad Airways Is great,ETIHAD AIRWAYS,etihad airways,Etihad Airways,4.2,4.2,4.2,88 Reviews),0,0,TRUE,Private,0,Abu Dhabi + 11 more,FALSE,19,Establish,10k-50k employees Global)
4606,MTS,3,MTS,short name,MTS Is great,MTS,mts,Mts,4.4,4.4,4.4,88 Reviews),0,0,TRUE,Private,0,"Minnesota,Hennepin + 35 more",FALSE,56,Establish,1k-5k employees India)
4607,TCS e-Serve Intern...,21,TCS,longname,TCS e-Serve Intern... Is great,TCS E-SERVE INTERN...,tcs e-serve intern...,Tcs E-Serve Intern...,3.7,3.7,3.7,88 Reviews),0,0,FALSE,Private,0,Mumbai + 17 more,TRUE,5k-10k employees India),Establish,
4608,Nobel Hygiene,13,Nob,longname,Nobel Hygiene Is great,NOBEL HYGIENE,nobel hygiene,Nobel Hygiene,3.7,3.7,3.7,88 Reviews),0,0,FALSE,"Mumbai,Maharashtra + 21 more",0,22,FALSE,201-500 employees Global),Establish,
4609,Vastu Housing Fina...,21,Vas,longname,Vastu Housing Fina... Is great,VASTU HOUSING FINA...,vastu housing fina...,Vastu Housing Fina...,4.2,4.3,4.7,88 Reviews),0,0,TRUE,Private,0,"Mumbai,Maharashtra + 33 more",TRUE,7,Startup,1k-5k employees India)
4610,Dunkin' Donuts,14,Dun,longname,Dunkin' Donuts Is great,DUNKIN' DONUTS,dunkin' donuts,Dunkin' Donuts,4.1,4.1,4.1,88 Reviews),0,0,TRUE,Canton + 17 more,0,72,FALSE,1k-5k employees Global),Establish,
4611,Gautam Solar,12,Gau,longname,Gautam Solar Is great,GAUTAM SOLAR,gautam solar,Gautam Solar,3.4,3.4,3.4,88 Reviews),0,0,FALSE,Private,0,New Delhi + 9 more,FALSE,25,Establish,501-1k employees Global)
4612,Doosan Heavy Indus...,21,Doo,longname,Doosan Heavy Indus... Is great,DOOSAN HEAVY INDUS...,doosan heavy indus...,Doosan Heavy Indus...,4.2,4.2,4.2,88 Reviews),0,0,TRUE,Private,0,Seoul + 12 more,FALSE,60,Establish,5k-10k employees Global)
4613,SDG Software,12,SDG,longname,SDG Software Is great,SDG SOFTWARE,sdg software,Sdg Software,4.2,4.2,4.2,88 Reviews),0,0,TRUE,Private,0,"Noida,Uttar Pradesh + 1 more",FALSE,29,Establish,201-500 employees India)
4614,Peps Industries,15,Pep,longname,Peps Industries Is great,PEPS INDUSTRIES,peps industries,Peps Industries,3.6,3.6,3.6,88 Reviews),0,0,FALSE,Bangalore + 19 more,0,16,FALSE,1k-5k employees Global),Establish,
4615,XenonStack,10,Xen,short name,XenonStack Is great,XENONSTACK,xenonstack,Xenonstack,4.4,4.4,4.9,88 Reviews),0,0,TRUE,Private,0,"SunnyVale,California",FALSE,10,Startup,51-200 employees India)
4616,Lester Infoservice...,21,Les,longname,Lester Infoservice... Is great,LESTER INFOSERVICE...,lester infoservice...,Lester Infoservice...,3.6,3.6,3.6,88 Reviews),0,0,FALSE,Private,0,"East Haven,Connecticut + 1 more",FALSE,41,Establish,1k-5k employees Global)
4617,Al Naboodah,11,Al ,longname,Al Naboodah Is great,AL NABOODAH,al naboodah,Al Naboodah,4.5,4.5,4.5,88 Reviews),0,0,TRUE,Dubai + 7 more,0,64,FALSE,10k-50k employees Global),Establish,
4618,Accuster Technolog...,21,Acc,longname,Accuster Technolog... Is great,ACCUSTER TECHNOLOG...,accuster technolog...,Accuster Technolog...,3.2,3.2,3.2,88 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,New Delhi + 6 more",FALSE,13,Establish,501-1k employees Global)
4619,LimeRoad,8,Lim,short name,LimeRoad Is great,LIMEROAD,limeroad,Limeroad,3.4,3.4,3.9,88 Reviews),0,0,FALSE,Private,0,Gurgaon + 3 more,FALSE,10,Startup,501-1k employees India)
4620,Bharti Retail,13,Bha,longname,Bharti Retail Is great,BHARTI RETAIL,bharti retail,Bharti Retail,4.3,4.3,4.3,88 Reviews),0,0,TRUE,Private,0,New Delhi + 33 more,FALSE,46,Establish,201-500 employees India)
4621,Fawaz Alhokair Gro...,21,Faw,longname,Fawaz Alhokair Gro... Is great,FAWAZ ALHOKAIR GRO...,fawaz alhokair gro...,Fawaz Alhokair Gro...,4.2,4.2,4.2,88 Reviews),0,0,TRUE,Private,0,Riyadh + 5 more,FALSE,32,Establish,11-50 employees India)
4622,Anand CY Myutec Au...,21,Ana,longname,Anand CY Myutec Au... Is great,ANAND CY MYUTEC AU...,anand cy myutec au...,Anand Cy Myutec Au...,4.2,4.2,4.2,88 Reviews),0,0,TRUE,Gurugram + 3 more,0,30,FALSE,201-500 employees India),Establish,
4623,Nippon Toyota,13,Nip,longname,Nippon Toyota Is great,NIPPON TOYOTA,nippon toyota,Nippon Toyota,4.5,4.5,4.5,88 Reviews),0,0,TRUE,Private,0,"Kochi/Cochin,Kerala + 9 more",FALSE,23,Establish,201-500 employees India)
4624,Eye-Q Super Specia...,21,Eye,longname,Eye-Q Super Specia... Is great,EYE-Q SUPER SPECIA...,eye-q super specia...,Eye-Q Super Specia...,3.8,3.8,3.8,88 Reviews),0,0,FALSE,Gurugram + 19 more,0,15,FALSE,501-1k employees Global),Establish,
4625,Shanthi Gears,13,Sha,longname,Shanthi Gears Is great,SHANTHI GEARS,shanthi gears,Shanthi Gears,4,4,4,88 Reviews),0,0,FALSE,Public,0,"Coimbatore,Tamil Nadu + 5 more",FALSE,53,Establish,501-1k employees India)
4626,Tata Steel Long Pr...,21,Tat,longname,Tata Steel Long Pr... Is great,TATA STEEL LONG PR...,tata steel long pr...,Tata Steel Long Pr...,3.9,3.9,3.9,88 Reviews),0,0,FALSE,Public,0,Keonjhar + 6 more,FALSE,40,Establish,1k-5k employees Global)
4627,Tata Ficosa Automo...,21,Tat,longname,Tata Ficosa Automo... Is great,TATA FICOSA AUTOMO...,tata ficosa automo...,Tata Ficosa Automo...,4,4,4,88 Reviews),0,0,FALSE,Pune + 7 more,0,24,FALSE,201-500 employees India),Establish,
4628,ACT Plast Paints,16,ACT,longname,ACT Plast Paints Is great,ACT PLAST PAINTS,act plast paints,Act Plast Paints,4,4,4,88 Reviews),0,0,FALSE,Private,0,Kancheepuram + 2 more,FALSE,16,Establish,51-200 employees Global)
4629,Novozymes South As...,21,Nov,longname,Novozymes South As... Is great,NOVOZYMES SOUTH AS...,novozymes south as...,Novozymes South As...,4,4,4,88 Reviews),0,0,FALSE,Private,0,Bagsværd + 6 more,FALSE,22,Establish,5k-10k employees Global)
4630,Myoung Shin India ...,21,Myo,longname,Myoung Shin India ... Is great,MYOUNG SHIN INDIA ...,myoung shin india ...,Myoung Shin India ...,4.1,4.1,4.1,88 Reviews),0,0,TRUE,Private,0,"Kanchipuram,Tamil Nadu + 3 more",FALSE,16,Establish,51-200 employees India)
4631,Bry-Air Asia),14,Bry,longname,Bry-Air Asia) Is great,BRY-AIR ASIA),bry-air asia),Bry-Air Asia),4.1,4.1,4.1,88 Reviews),0,0,TRUE,Private,0,"Gurgaon/Gurugram,Haryana + 8 more",FALSE,41,Establish,1k-5k employees Global)
4632,Videojet Technolog...,21,Vid,longname,Videojet Technolog... Is great,VIDEOJET TECHNOLOG...,videojet technolog...,Videojet Technolog...,4.3,4.3,4.3,88 Reviews),0,0,TRUE,Private,0,"Wood Dale,Illinois + 16 more",FALSE,27,Establish,1k-5k employees Global)
4633,LEAD School,11,LEA,longname,LEAD School Is great,LEAD SCHOOL,lead school,Lead School,3.9,3.9,3.9,88 Reviews),0,0,FALSE,Mumbai + 18 more,0,9,FALSE,1k-5k employees India),Establish,
4634,Publicis,8,Pub,short name,Publicis Is great,PUBLICIS,publicis,Publicis,3.8,3.8,3.8,1.4k,1400,FALSE,FALSE,Private,Not Top ,Paris + 6 more,FALSE,96,Establish,10k-50k employees Global)
4635,Indian Institute o�,21,Ind,longname,Indian Institute o... Is great,INDIAN INSTITUTE O...,indian institute o...,Indian Institute O...,4.5,4.6,5,105 Reviews),0,0,TRUE,Kozhikode + 15 more,0,,FALSE,,Startup,
4636,Agappe Diagnostics,18,Aga,longname,Agappe Diagnostics Is great,AGAPPE DIAGNOSTICS,agappe diagnostics,Agappe Diagnostics,4.1,4.1,4.1,87 Reviews),0,0,TRUE,Private,0,"Ernakulam,Kerala + 18 more",FALSE,24,Establish,201-500 employees Global)
4637,Global Cloud Xchan...,21,Glo,longname,Global Cloud Xchan... Is great,GLOBAL CLOUD XCHAN...,global cloud xchan...,Global Cloud Xchan...,3.3,3.3,3.3,87 Reviews),0,0,FALSE,Private,0,"Hamilton,Bermuda + 5 more",FALSE,34,Establish,1k-5k employees Global)
4638,KGK Group,9,KGK,short name,KGK Group Is great,KGK GROUP,kgk group,Kgk Group,3.6,3.6,3.6,87 Reviews),0,0,FALSE,Private,0,Kowloon + 9 more,FALSE,117,Establish,10k-50k employees Global)
4639,Virinchi Technolog...,21,Vir,longname,Virinchi Technolog... Is great,VIRINCHI TECHNOLOG...,virinchi technolog...,Virinchi Technolog...,3.4,3.4,3.4,87 Reviews),0,0,FALSE,Private,0,Edison + 1 more,FALSE,31,Establish,1k-5k employees India)
4640,Phenom,6,Phe,short name,Phenom Is great,PHENOM,phenom,Phenom,4.3,4.3,4.3,87 Reviews),0,0,TRUE,Private,0,"Ambler,Pennsylvania + 1 more",FALSE,11,Establish,501-1k employees India)
4641,Swiss Re,8,Swi,short name,Swiss Re Is great,SWISS RE,swiss re,Swiss Re,4.2,4.2,4.2,87 Reviews),0,0,TRUE,Zurich + 1 more,0,159,FALSE,1k-5k employees India),Establish,
4642,Shriram EPC,11,Shr,longname,Shriram EPC Is great,SHRIRAM EPC,shriram epc,Shriram Epc,4.3,4.3,4.3,87 Reviews),0,0,TRUE,Public,0,"Chennai,Tamil Nadu + 9 more",FALSE,22,Establish,201-500 employees India)
4643,Peerless Hospital,17,Pee,longname,Peerless Hospital Is great,PEERLESS HOSPITAL,peerless hospital,Peerless Hospital,4.1,4.1,4.1,87 Reviews),0,0,TRUE,Private,0,"Kolkata,West Bengal + 4 more",FALSE,90,Establish,1k-5k employees Global)
4644,e-Zest,6,e-Z,short name,e-Zest Is great,E-ZEST,e-zest,E-Zest,3.7,3.7,3.7,87 Reviews),0,0,FALSE,Public,0,"Pune,Maharashtra",FALSE,22,Establish,501-1k employees India)
4645,SKS Ispat & Power,17,SKS,longname,SKS Ispat & Power Is great,SKS ISPAT & POWER,sks ispat & power,Sks Ispat & Power,3.7,3.7,3.7,87 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 4 more",FALSE,22,Establish,201-500 employees Global)
4646,SBI Capital Market...,21,SBI,longname,SBI Capital Market... Is great,SBI CAPITAL MARKET...,sbi capital market...,Sbi Capital Market...,3.1,3.1,3.1,87 Reviews),0,0,FALSE,Public,0,"Mumbai,Maharashtra + 30 more",TRUE,36,Establish,1k-5k employees Global)
4647,ABSAS Solutions,15,ABS,longname,ABSAS Solutions Is great,ABSAS SOLUTIONS,absas solutions,Absas Solutions,2.7,2.7,2.7,87 Reviews),0,0,FALSE,Private,0,Noida + 2 more,FALSE,13,Establish,201-500 employees Global)
4648,Bombay Stock Excha...,21,Bom,longname,Bombay Stock Excha... Is great,BOMBAY STOCK EXCHA...,bombay stock excha...,Bombay Stock Excha...,3.9,3.9,3.9,87 Reviews),0,0,FALSE,Mumbai + 7 more,0,147,FALSE,1k-5k employees Global),Establish,
4649,SODECIA,7,SOD,short name,SODECIA Is great,SODECIA,sodecia,Sodecia,3.6,3.6,3.6,87 Reviews),0,0,FALSE,Private,0,"Porto,Maia + 6 more",FALSE,42,Establish,5k-10k employees Global)
4650,Himalaya Opticals,17,Him,longname,Himalaya Opticals Is great,HIMALAYA OPTICALS,himalaya opticals,Himalaya Opticals,4.1,4.1,4.1,87 Reviews),0,0,TRUE,Private,0,"Kolkata,West Bengal + 20 more",FALSE,87,Establish,201-500 employees India)
4651,Apex Hospital,13,Ape,longname,Apex Hospital Is great,APEX HOSPITAL,apex hospital,Apex Hospital,4,4,4,87 Reviews),0,0,FALSE,Private,0,"Jaipur,Rajasthan + 18 more",FALSE,28,Establish,51-200 employees Global)
4652,Garden Reach Shipb...,21,Gar,longname,Garden Reach Shipb... Is great,GARDEN REACH SHIPB...,garden reach shipb...,Garden Reach Shipb...,4.3,4.3,4.3,87 Reviews),0,0,TRUE,Kolkata + 3 more,0,88,FALSE,1k-5k employees Global),Establish,
4653,e-Zest,6,e-Z,short name,e-Zest Is great,E-ZEST,e-zest,E-Zest,3.7,3.7,3.7,87 Reviews),0,0,FALSE,Public,0,"Pune,Maharashtra",FALSE,22,Establish,501-1k employees India)
4654,Global Cloud Xchan...,21,Glo,longname,Global Cloud Xchan... Is great,GLOBAL CLOUD XCHAN...,global cloud xchan...,Global Cloud Xchan...,3.3,3.3,3.3,87 Reviews),0,0,FALSE,Private,0,"Hamilton,Bermuda + 5 more",FALSE,34,Establish,1k-5k employees Global)
4655,Sigma,5,Sig,short name,Sigma Is great,SIGMA,sigma,Sigma,3.9,3.9,3.9,87 Reviews),0,0,FALSE,Private,0,"Altidona,Missouri + 22 more",FALSE,23,Establish,201-500 employees Global)
4656,HealthifyMe,11,Hea,longname,HealthifyMe Is great,HEALTHIFYME,healthifyme,Healthifyme,3.4,3.4,3.9,87 Reviews),0,0,FALSE,Private,0,Singapore + 9 more,FALSE,10,Startup,501-1k employees Global)
4657,Interface Microsys...,21,Int,longname,Interface Microsys... Is great,INTERFACE MICROSYS...,interface microsys...,Interface Microsys...,4,4,4,87 Reviews),0,0,FALSE,Private,0,"Gurgaon/Gurugram,Haryana + 4 more",FALSE,38,Establish,201-500 employees Global)
4658,Gerdau Steel India,18,Ger,longname,Gerdau Steel India Is great,GERDAU STEEL INDIA,gerdau steel india,Gerdau Steel India,4.2,4.2,4.2,87 Reviews),0,0,TRUE,Private,0,Bangalore + 3 more,TRUE,29,Establish,501-1k employees Global)
4659,Radium Creation,15,Rad,longname,Radium Creation Is great,RADIUM CREATION,radium creation,Radium Creation,3.1,3.1,3.1,87 Reviews),0,0,FALSE,Private,0,Mumbai + 3 more,TRUE,31,Establish,1k-5k employees Global)
4660,Chaitanya India Fi...,21,Cha,longname,Chaitanya India Fi... Is great,CHAITANYA INDIA FI...,chaitanya india fi...,Chaitanya India Fi...,4.4,4.4,4.4,87 Reviews),0,0,TRUE,Private,0,Bangalore + 35 more,TRUE,13,Establish,1k-5k employees India)
4661,Doubtnut,8,Dou,short name,Doubtnut Is great,DOUBTNUT,doubtnut,Doubtnut,3.3,3.4,3.8,87 Reviews),0,0,TRUE,Private,0,Gurgaon + 11 more,FALSE,6,Startup,201-500 employees India)
4662,Tata Consumer Prod...,21,Tat,longname,Tata Consumer Prod... Is great,TATA CONSUMER PROD...,tata consumer prod...,Tata Consumer Prod...,3.6,3.6,3.6,87 Reviews),0,0,FALSE,"Mumbai,Maharashtra + 40 more",0,60,FALSE,1k-5k employees Global),Establish,
4663,Frost & Sullivan,16,Fro,longname,Frost & Sullivan Is great,FROST & SULLIVAN,frost & sullivan,Frost & Sullivan,3.3,3.3,3.3,87 Reviews),0,0,FALSE,Private,0,"Santa Clara,California + 6 more",FALSE,61,Establish,1k-5k employees Global)
4664,Radix Electrosyste...,21,Rad,longname,Radix Electrosyste... Is great,RADIX ELECTROSYSTE...,radix electrosyste...,Radix Electrosyste...,3.1,3.1,3.1,87 Reviews),0,0,FALSE,"Navi Mumbai,Maharashtra + 9 more",0,42,FALSE,201-500 employees Global),Establish,
4665,TCL,3,TCL,short name,TCL Is great,TCL,tcl,Tcl,4.2,4.2,4.2,87 Reviews),0,0,TRUE,Private,0,Huizhou + 18 more,FALSE,41,Establish,51-200 employees India)
4666,PurpleTalk,10,Pur,short name,PurpleTalk Is great,PURPLETALK,purpletalk,Purpletalk,3.9,3.9,3.9,87 Reviews),0,0,FALSE,Private,0,Dallas + 1 more,FALSE,14,Establish,501-1k employees Global)
4667,Celebrity Cruises,17,Cel,longname,Celebrity Cruises Is great,CELEBRITY CRUISES,celebrity cruises,Celebrity Cruises,4.7,4.7,4.7,87 Reviews),0,0,TRUE,Miami + 3 more,0,33,FALSE,501-1k employees India),Establish,
4668,Saama Technologies,18,Saa,longname,Saama Technologies Is great,SAAMA TECHNOLOGIES,saama technologies,Saama Technologies,3.9,3.9,3.9,87 Reviews),0,0,FALSE,Private,0,"Campbell,California",FALSE,25,Establish,201-500 employees India)
4669,Oaknet Healthcare,17,Oak,longname,Oaknet Healthcare Is great,OAKNET HEALTHCARE,oaknet healthcare,Oaknet Healthcare,4,4,4,87 Reviews),0,0,FALSE,"Mumbai,Maharashtra + 20 more",0,7,FALSE,1k-5k employees Global),Establish,
4670,National Highways ...,21,Nat,longname,National Highways ... Is great,NATIONAL HIGHWAYS ...,national highways ...,National Highways ...,4,4.1,4.5,87 Reviews),0,0,TRUE,"Delhi/NCR,Delhi + 42 more",0,34,FALSE,,Startup,
4671,United Nations Dev...,21,Uni,longname,United Nations Dev... Is great,UNITED NATIONS DEV...,united nations dev...,United Nations Dev...,4.5,4.5,4.5,87 Reviews),0,0,TRUE,"New York,New York + 23 more",0,57,FALSE,10k-50k employees Global),Establish,
4672,JAY JAY MILLS,13,JAY,longname,JAY JAY MILLS Is great,JAY JAY MILLS,jay jay mills,Jay Jay Mills,3.8,3.8,3.8,87 Reviews),0,0,FALSE,"Tirupur/Tiruppur,Tamil Nadu + 6 more",0,51,FALSE,1k-5k employees Global),Establish,
4673,Rasandik Engineeri...,21,Ras,longname,Rasandik Engineeri... Is great,RASANDIK ENGINEERI...,rasandik engineeri...,Rasandik Engineeri...,3.5,3.5,3.5,87 Reviews),0,0,FALSE,Public,0,"Delhi/NCR,Delhi + 7 more",FALSE,36,Establish,501-1k employees Global)
4674,Meneta Automotive ...,21,Men,longname,Meneta Automotive ... Is great,MENETA AUTOMOTIVE ...,meneta automotive ...,Meneta Automotive ...,3.6,3.6,3.6,87 Reviews),0,0,FALSE,Private,0,Sonipat + 4 more,FALSE,15,Establish,501-1k employees Global)
4675,Amanta Healthcare,17,Ama,longname,Amanta Healthcare Is great,AMANTA HEALTHCARE,amanta healthcare,Amanta Healthcare,3.8,3.8,3.8,87 Reviews),0,0,FALSE,Private,0,Ahmedabad + 6 more,FALSE,24,Establish,201-500 employees Global)
4676,LUX Industries,14,LUX,longname,LUX Industries Is great,LUX INDUSTRIES,lux industries,Lux Industries,4.2,4.2,4.2,87 Reviews),0,0,TRUE,Public,0,Kolkata + 12 more,FALSE,65,Establish,501-1k employees Global)
4677,Koenig Solutions,16,Koe,longname,Koenig Solutions Is great,KOENIG SOLUTIONS,koenig solutions,Koenig Solutions,3.3,3.3,3.3,87 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 5 more",FALSE,29,Establish,201-500 employees India)
4678,Netmeds.com,11,Net,longname,Netmeds.com Is great,NETMEDS.COM,netmeds.com,Netmeds.Com,4,4,4,87 Reviews),0,0,FALSE,"Chennai,Tamil Nadu + 9 more",0,7,FALSE,501-1k employees Global),Establish,
4679,Rasandik Engineeri...,21,Ras,longname,Rasandik Engineeri... Is great,RASANDIK ENGINEERI...,rasandik engineeri...,Rasandik Engineeri...,3.5,3.5,3.5,87 Reviews),0,0,FALSE,Public,0,"Delhi/NCR,Delhi + 7 more",FALSE,36,Establish,501-1k employees Global)
4680,Biophore India Pha...,21,Bio,longname,Biophore India Pha... Is great,BIOPHORE INDIA PHA...,biophore india pha...,Biophore India Pha...,3.8,3.8,3.8,87 Reviews),0,0,FALSE,Private,0,"Hyderabad/Secunderabad,Telangana + 1 more",FALSE,15,Establish,201-500 employees India)
4681,United Nations Dev...,21,Uni,longname,United Nations Dev... Is great,UNITED NATIONS DEV...,united nations dev...,United Nations Dev...,4.5,4.5,4.5,87 Reviews),0,0,TRUE,"New York,New York + 23 more",0,57,FALSE,10k-50k employees Global),Establish,
4682,HealthifyMe,11,Hea,longname,HealthifyMe Is great,HEALTHIFYME,healthifyme,Healthifyme,3.4,3.4,3.9,87 Reviews),0,0,FALSE,Private,0,Singapore + 9 more,FALSE,10,Startup,501-1k employees Global)
4683,Alpha Design Techn...,21,Alp,longname,Alpha Design Techn... Is great,ALPHA DESIGN TECHN...,alpha design techn...,Alpha Design Techn...,4,4,4,86 Reviews),0,0,FALSE,Private,0,"Bangalore/Bengaluru,Karnataka + 7 more",TRUE,19,Establish,501-1k employees Global)
4684,Municipal Corporat...,21,Mun,longname,Municipal Corporat... Is great,MUNICIPAL CORPORAT...,municipal corporat...,Municipal Corporat...,3.8,3.8,3.8,86 Reviews),0,0,FALSE,Public,0,Mumbai + 3 more,TRUE,134,Establish,5k-10k employees Global)
4685,Veritaz Healthcare,18,Ver,longname,Veritaz Healthcare Is great,VERITAZ HEALTHCARE,veritaz healthcare,Veritaz Healthcare,3.9,3.9,3.9,86 Reviews),0,0,FALSE,Private,0,Hyderabad + 22 more,FALSE,17,Establish,201-500 employees India)
4686,Shriram Properties,18,Shr,longname,Shriram Properties Is great,SHRIRAM PROPERTIES,shriram properties,Shriram Properties,3.3,3.3,3.3,86 Reviews),0,0,FALSE,Private,0,"Bangalore/Bengaluru,Karnataka + 6 more",TRUE,27,Establish,501-1k employees Global)
4687,Frost & Sullivan,16,Fro,longname,Frost & Sullivan Is great,FROST & SULLIVAN,frost & sullivan,Frost & Sullivan,3.2,3.2,3.2,86 Reviews),0,0,FALSE,Private,0,"Santa Clara,California + 6 more",FALSE,61,Establish,1k-5k employees Global)
4688,Graphite India,14,Gra,longname,Graphite India Is great,GRAPHITE INDIA,graphite india,Graphite India,3.7,3.7,3.7,86 Reviews),0,0,FALSE,Public,0,"Nasik/Nashik,Maharashtra + 4 more",FALSE,60,Establish,1k-5k employees Global)
4689,Paperchase Account...,21,Pap,longname,Paperchase Account... Is great,PAPERCHASE ACCOUNT...,paperchase account...,Paperchase Account...,3.5,3.5,3.5,86 Reviews),0,0,FALSE,Private,0,New York,FALSE,33,Establish,1k-5k employees Global)
4690,Delhi Police,12,Del,longname,Delhi Police Is great,DELHI POLICE,delhi police,Delhi Police,3.5,3.5,3.5,86 Reviews),0,0,FALSE,Private,0,New Delhi + 9 more,FALSE,161,Establish,50k-1 Lakh employees Global)
4691,TITAGARH WAGONS,15,TIT,longname,TITAGARH WAGONS Is great,TITAGARH WAGONS,titagarh wagons,Titagarh Wagons,3.3,3.3,3.3,86 Reviews),0,0,FALSE,Public,0,"Kolkata,West Bengal + 4 more",FALSE,24,Establish,501-1k employees Global)
4692,UFO Moviez,10,UFO,short name,UFO Moviez Is great,UFO MOVIEZ,ufo moviez,Ufo Moviez,3.8,3.8,3.8,86 Reviews),0,0,FALSE,Public,0,"Mumbai,Maharashtra + 19 more",TRUE,17,Establish,501-1k employees Global)
4693,Kopran,6,Kop,short name,Kopran Is great,KOPRAN,kopran,Kopran,4,4,4,86 Reviews),0,0,FALSE,Public,0,"Mumbai,Maharashtra + 11 more",TRUE,64,Establish,501-1k employees Global)
4694,Vistaprint,10,Vis,short name,Vistaprint Is great,VISTAPRINT,vistaprint,Vistaprint,4.1,4.1,4.6,86 Reviews),0,0,TRUE,Private,0,Mumbai + 7 more,TRUE,10,Startup,1k-5k employees India)
4695,Skypro Technologie...,21,Sky,longname,Skypro Technologie... Is great,SKYPRO TECHNOLOGIE...,skypro technologie...,Skypro Technologie...,3.5,3.5,3.5,86 Reviews),0,0,FALSE,"Bangalore/Bengaluru,Karnataka + 15 more",0,11,FALSE,51-200 employees India),Establish,
4696,Harita Techserv,15,Har,longname,Harita Techserv Is great,HARITA TECHSERV,harita techserv,Harita Techserv,3.5,3.5,3.5,86 Reviews),0,0,FALSE,"Chennai,Tamil Nadu + 6 more",0,26,FALSE,201-500 employees Global),Establish,
4697,Sophos Technologie...,21,Sop,longname,Sophos Technologie... Is great,SOPHOS TECHNOLOGIE...,sophos technologie...,Sophos Technologie...,3.9,3.9,3.9,86 Reviews),0,0,FALSE,Private,0,"Ahmedabad,Gujarat + 4 more",FALSE,23,Establish,501-1k employees India)
4698,Shiva Pharmachem,16,Shi,longname,Shiva Pharmachem Is great,SHIVA PHARMACHEM,shiva pharmachem,Shiva Pharmachem,4,4,4,86 Reviews),0,0,FALSE,"Vadodara/Baroda,Gujarat + 2 more",0,21,FALSE,201-500 employees Global),Establish,
4699,Teerthanker Mahave...,21,Tee,longname,Teerthanker Mahave... Is great,TEERTHANKER MAHAVE...,teerthanker mahave...,Teerthanker Mahave...,3.5,3.5,3.5,86 Reviews),0,0,FALSE,"Moradabad,Uttar Pradesh + 4 more",0,14,FALSE,501-1k employees Global),Establish,
4700,Fulcrum Worldwide ...,21,Ful,longname,Fulcrum Worldwide ... Is great,FULCRUM WORLDWIDE ...,fulcrum worldwide ...,Fulcrum Worldwide ...,3.6,3.6,3.6,86 Reviews),0,0,FALSE,Private,0,Jersey City,FALSE,23,Establish,501-1k employees Global)
4701,Celio Future Fashi...,21,Cel,longname,Celio Future Fashi... Is great,CELIO FUTURE FASHI...,celio future fashi...,Celio Future Fashi...,4.7,4.7,4.7,86 Reviews),0,0,TRUE,Private,0,Saint Quen + 21 more,FALSE,37,Establish,501-1k employees India)
4702,Gapbridge Software...,21,Gap,longname,Gapbridge Software... Is great,GAPBRIDGE SOFTWARE...,gapbridge software...,Gapbridge Software...,4.3,4.3,4.3,86 Reviews),0,0,TRUE,Private,0,Bengaluru + 19 more,FALSE,12,Establish,201-500 employees Global)
4703,High Court Lucknow,18,Hig,longname,High Court Lucknow Is great,HIGH COURT LUCKNOW,high court lucknow,High Court Lucknow,4.4,4.5,4.9,86 Reviews),0,0,TRUE,Lucknow + 17 more,0,201-500 employees Global),FALSE,,Startup,
